general,2381
steel,2378
told,2378
khowst,2376
insurgent,2350
clear,2350
syd,2342
today,2326
dist,2313
individual,2309
bstb,2304
group,2302
lead,2291
mounted,2290
brought,2283
accident,2278
ieds,2272
deployed,2267
each,2264
drop,2260
consisted,2255
command,2253
lt,2253
good,2252
stb,2246
issues,2240
medical,2239
ops,2237
qa,2236
global,2231
day,2230
soldiers,2220
asg,2216
consisting,2215
logar,2213
pcc,2205
zabul,2202
cpt,2189
engage,2185
vicinity,2185
gladius,2175
threat,2170
discuss,2166
house,2166
usa,2165
jingle,2160
shots,2160
orgun,2160
once,2158
staff,2158
dropped,2151
control,2142
until,2141
initial,2141
landed,2135
assistance,2133
observe,2132
detainees,2130
guns,2129
sw,2129
placed,2125
mc,2121
present,2121
attacks,2120
sxc,2115
days,2110
towards,2107
marked,2107
began,2107
qc,2104
clearance,2096
multiple,2088
approved,2085
aug,2084
providing,2081
uruzgan,2067
hlz,2067
just,2066
power,2059
suffered,2054
radio,2051
water,2049
completed,2047
trucks,2046
khel,2044
apr,2042
ha,2037
hrs,2035
help,2033
crew,2032
mk,2030
likely,2025
use,2023
called,2019
bermel,2016
TRUE,2016
size,2013
name,2000
returning,1995
determined,1994
driver,1994
head,1990
seen,1984
sp,1975
ammo,1974
its,1962
saltur,1959
fighting,1957
most,1956
wall,1956
men,1955
pkm,1950
spader,1945
coming,1943
members,1942
exploited,1935
ineffective,1929
wp,1929
large,1921
arsic,1920
catamount,1918
notified,1915
male,1914
night,1912
light,1911
current,1910
swt,1905
assist,1897
pakistan,1895
routine,1893
assets,1883
upd,1880
rpgs,1880
bip,1877
plan,1867
pmt,1867
apache,1861
clinic,1861
secondary,1859
collateral,1859
should,1851
awt,1851
why,1848
military,1847
acf,1844
gov,1844
icom,1843
lns,1843
cal,1839
significant,1838
jalalabad,1836
post,1830
y,1827
system,1822
ap,1811
hme,1808
cdr,1805
qq,1804
investigation,1802
traffic,1799
illum,1797
flight,1795
sua,1790
take,1787
date,1784
professional,1780
way,1779
mines,1777
ekia,1774
heavy,1772
ceased,1770
border,1769
destiny,1759
inf,1752
dude,1747
qalat,1739
pack,1733
ne,1732
without,1728
check,1721
engaging,1714
conducts,1712
go,1711
impact,1704
paktya,1704
involved,1699
bag,1699
tfk,1698
offensive,1698
gbr,1698
executed,1698
bazaar,1697
stop,1691
areas,1690
joint,1686
urgent,1684
anti,1682
given,1677
motorcycle,1676
hnsf,1673
gtl,1664
hca,1658
events,1658
re,1655
v,1655
yd,1652
lam,1647
svd,1645
gsw,1644
man,1643
needs,1635
transported,1634
quot,1633
children,1630
cell,1622
recieved,1617
ao,1615
presence,1612
morning,1609
mtg,1609
continuing,1605
secure,1603
salt,1603
old,1594
suspicious,1591
checkpoint,1586
officer,1583
weapon,1577
engineer,1576
key,1575
fm,1572
again,1570
villages,1564
wg,1563
evidence,1556
engineers,1556
abdul,1554
mtn,1554
shrapnel,1551
panjshir,1548
sniper,1541
yellow,1537
grenade,1535
believed,1534
occurred,1533
suicide,1533
visit,1532
ecp,1531
purpose,1531
ppied,1530
declared,1529
level,1523
how,1514
facility,1513
saber,1511
oda,1511
requesting,1511
broken,1510
based,1504
past,1502
smoke,1502
available,1501
come,1500
routes,1493
mrap,1491
diablo,1490
box,1489
hwy,1489
se,1488
mar,1488
previous,1486
hours,1483
river,1482
jun,1481
rnds,1480
than,1480
districts,1474
kg,1473
artillery,1470
eyes,1468
since,1467
devices,1467
using,1465
result,1465
nuristan,1456
recover,1453
above,1451
lz,1448
traveling,1448
requests,1447
wu,1446
metal,1446
trying,1442
make,1441
departed,1434
cord,1430
nw,1428
sta,1425
eom,1425
fuel,1424
iedd,1421
spotted,1418
attempting,1416
kop,1416
fled,1414
afg,1409
casualty,1408
feb,1407
needed,1402
snr,1402
machine,1402
zdec,1402
prior,1400
rifle,1398
locals,1397
michigan,1396
major,1394
ammunition,1394
independent,1392
pass,1391
interdiction,1391
matches,1390
updated,1390
top,1384
poss,1383
leg,1382
released,1380
running,1380
svf,1379
kapisa,1378
searched,1376
supplies,1376
recon,1374
leaders,1370
zormat,1369
call,1365
troops,1364
villagers,1363
required,1362
started,1351
bomb,1346
like,1345
mullah,1341
activities,1340
minutes,1339
platoon,1336
possibly,1334
single,1333
show,1332
tower,1328
explosives,1326
tape,1324
priority,1321
agl,1321
bp,1317
field,1315
terrain,1310
haji,1309
mohammad,1309
immediately,1308
tillman,1308
governors,1307
locations,1305
cstc,1305
database,1303
car,1302
higher,1301
via,1299
held,1298
linked,1297
long,1296
office,1294
final,1292
hill,1290
meet,1284
dmg,1283
ube,1282
destroy,1279
arrival,1279
mtf,1278
bostick,1277
zoct,1276
airfield,1276
sustained,1276
news,1274
culvert,1270
resulted,1268
frago,1268
removed,1268
part,1266
units,1265
education,1264
link,1264
saw,1263
clearing,1262
treatment,1261
stable,1260
behind,1258
escort,1257
merged,1254
disposition,1253
planned,1253
hmg,1251
btif,1251
intent,1250
reason,1249
sqn,1249
arm,1247
sharona,1246
wardak,1245
fires,1242
week,1240
spot,1239
geronimo,1237
cincinnatus,1236
discussion,1234
swo,1230
buried,1228
indicated,1227
elder,1226
direction,1223
gt,1222
attempted,1221
parwan,1220
passed,1216
analysis,1215
col,1214
launched,1213
followed,1210
immediate,1210
mp,1206
mosque,1206
deputy,1206
heard,1204
pd,1202
wounds,1198
znov,1195
overwatch,1195
russian,1193
assess,1192
hhc,1190
fighters,1188
opened,1188
many,1186
run,1185
rk,1185
gate,1185
mentioned,1183
year,1181
confirm,1180
io,1179
wound,1177
nbi,1177
projectile,1171
criminal,1169
mercian,1169
reconstruction,1167
nationals,1167
crater,1163
hn,1161
phone,1160
grenades,1159
five,1158
bags,1158
max,1157
july,1157
women,1157
per,1154
already,1151
transferred,1149
farah,1149
council,1147
grids,1146
ord,1146
chinese,1145
batteries,1145
response,1145
msr,1144
distributed,1142
nangarhar,1140
kle,1139
mace,1137
here,1136
recce,1134
duplicate,1130
mehtar,1129
health,1124
veh,1121
you,1121
recent,1120
intel,1119
tomorrow,1118
ffir,1118
kdz,1117
mg,1116
engagements,1115
mohammed,1113
hr,1112
tank,1109
hawg,1106
jul,1102
sites,1101
zerok,1099
approached,1096
appeared,1096
sbct,1096
clp,1096
member,1095
dog,1095
condition,1094
vegas,1092
media,1089
tagab,1089
treated,1088
patrols,1087
negative,1087
sharan,1083
deh,1082
gm,1081
collected,1078
serious,1078
approves,1077
cold,1076
finding,1076
comments,1071
tribal,1070
cover,1065
please,1065
issue,1064
onto,1063
arrested,1062
cpof,1062
encountered,1061
aup,1060
doc,1060
send,1059
ctf,1056
forward,1055
qs,1054
pp,1054
does,1054
pakmil,1053
caused,1051
tribe,1051
planning,1050
imminent,1050
palehorse,1049
tiger,1049
disposed,1048
gul,1047
throughout,1047
btl,1047
desc,1047
foot,1046
few,1044
know,1044
times,1043
program,1043
iroa,1043
vbied,1043
intelligence,1043
confidential,1041
kdk,1041
body,1038
zmay,1037
mountain,1036
progress,1032
department,1028
face,1027
compass,1026
aed,1025
tfu,1025
combined,1025
dr,1025
infrastructure,1024
together,1023
hole,1022
wadi,1021
travel,1020
